

acc
| count/位置 | 1 | 2 | 3 | 4 | 5 | 6 | 7 |
| --------: | -: | -: | -: | -: | -: | -: | -: |
| 1 | 0.4615384638309479 | 0.602150559425354 | 0.7395833134651184 | 0.5190476179122925 | 0.7653061151504517 | 0.6818181872367859 | 0.4571428596973419 |
| 2 | 0.5089285969734192 | 0.6931818127632141 | 0.7767857313156128 | 0.5654450058937073 | 0.8053097128868103 | 0.6754385828971863 | 0.5454545617103577 |
| 3 | 0.49572649598121643 | 0.6936936974525452 | 0.7589285969734192 | 0.5141242742538452 | 0.7809523940086365 | 0.7156862616539001 | 0.5809524059295654 |
| 4 | 0.4117647111415863 | 0.60550457239151 | 0.6896551847457886 | 0.449438214302063 | 0.7450980544090271 | 0.6442307829856873 | 0.47457626461982727 |
| 5 | 0.594059407711029 | 0.6813187003135681 | 0.8295454382896423 | 0.5958549380302429 | 0.9122806787490845 | 0.7767857313156128 | 0.5384615659713745 |
| 6 | 0.4842105209827423 | 0.6814159154891968 | 0.7699999809265137 | 0.5224719047546387 | 0.7870370149612427 | 0.7063491940498352 | 0.4220183491706848 |
| 7 | 0.4444444477558136 | 0.6407766938209534 | 0.708737850189209 | 0.5380710363388062 | 0.7786885499954224 | 0.7064220309257507 | 0.5625 |
| 8 | 0.44247788190841675 | 0.6198347210884094 | 0.7217391133308411 | 0.4393063485622406 | 0.7647058963775635 | 0.7319587469100952 | 0.5054945349693298 |
| 9 | 0.4245283007621765 | 0.6363636255264282 | 0.8157894611358643 | 0.6577540040016174 | 0.8421052694320679 | 0.7524752616882324 | 0.5 |
| 10 | 0.38211381435394287 | 0.6428571343421936 | 0.817307710647583 | 0.4378378391265869 | 0.780701756477356 | 0.7142857313156128 | 0.44086021184921265 |
| average | 0.4649792641401291 | 0.6497097432613372 | 0.7628072381019593 | 0.5239351183176041 | 0.7962185442447662 | 0.7105450510978699 | 0.5027460753917694 |

loss
| count/位置 | 1 | 2 | 3 | 4 | 5 | 6 | 7 |
| --------: | -: | -: | -: | -: | -: | -: | -: |
| 1 | 3.7750260829925537 | 3.3099782466888428 | 1.408963680267334 | 3.976470708847046 | 2.1188347339630127 | 2.2280445098876953 | 3.053215503692627 |
| 2 | 4.265000343322754 | 1.753989815711975 | 1.4046915769577026 | 3.815946102142334 | 1.2194796800613403 | 1.74789297580719 | 2.7854843139648438 |
| 3 | 3.2085747718811035 | 1.8937443494796753 | 1.0598593950271606 | 6.231753826141357 | 1.1170971393585205 | 1.863623857498169 | 2.0510456562042236 |
| 4 | 4.862539291381836 | 2.1147167682647705 | 1.7244702577590942 | 8.933626174926758 | 1.4212474822998047 | 2.854114532470703 | 3.0500082969665527 |
| 5 | 2.4173824787139893 | 2.43808650970459 | 1.0041673183441162 | 2.760826826095581 | 0.8115078210830688 | 1.3418635129928589 | 3.468419313430786 |
| 6 | 3.729260206222534 | 2.4967100620269775 | 1.0652590990066528 | 3.5519332885742188 | 1.245143175125122 | 1.5306737422943115 | 4.797420978546143 |
| 7 | 2.997537612915039 | 2.2303619384765625 | 1.530517816543579 | 3.871936082839966 | 1.3292776346206665 | 1.6533740758895874 | 3.172197103500366 |
| 8 | 3.6281917095184326 | 1.866903305053711 | 1.2190266847610474 | 6.415624141693115 | 1.0565248727798462 | 1.9265682697296143 | 2.73172926902771 |
| 9 | 3.3597195148468018 | 2.17751145362854 | 0.6943118572235107 | 2.209991693496704 | 0.6237087845802307 | 1.867114782333374 | 2.7484970092773438 |
| 10 | 4.2403082847595215 | 1.9503554105758667 | 1.2204581499099731 | 6.794689655303955 | 0.8032512068748474 | 1.8992024660110474 | 2.8797764778137207 |
| average | 3.6483540296554566 | 2.223235785961151 | 1.2331725835800171 | 4.8562798500061035 | 1.174607253074646 | 1.891247272491455 | 3.0737793922424315 |
