

acc
| count/位置 | 1 | 2 | 3 | 4 | 5 | 6 | 7 |
| --------: | -: | -: | -: | -: | -: | -: | -: |
| 1 | 0.9645161032676697 | 0.9970930218696594 | 1.0 | 0.9930915236473083 | 0.9968652129173279 | 0.9871382713317871 | 0.9867109656333923 |
| 2 | 0.9843260049819946 | 1.0 | 0.9911242723464966 | 0.9863247871398926 | 1.0 | 0.9933993220329285 | 0.9813084006309509 |
| 3 | 0.9592476487159729 | 0.9904761910438538 | 0.9967948794364929 | 0.9901153445243835 | 0.9935897588729858 | 0.9878787994384766 | 0.9672130942344666 |
| 4 | 0.988304078578949 | 0.9937499761581421 | 0.9967213273048401 | 0.9950413107872009 | 1.0 | 0.9967532753944397 | 0.9838709831237793 |
| 5 | 0.9732441306114197 | 0.9963369965553284 | 0.991253674030304 | 0.9968101978302002 | 0.9968152642250061 | 0.9839228391647339 | 0.9699699878692627 |
| average | 0.9739275932312011 | 0.9955312371253967 | 0.9951788306236267 | 0.9922766327857971 | 0.997454047203064 | 0.9898185014724732 | 0.9778146862983703 |

loss
| count/位置 | 1 | 2 | 3 | 4 | 5 | 6 | 7 |
| --------: | -: | -: | -: | -: | -: | -: | -: |
| 1 | 0.21385392546653748 | 0.018454650416970253 | 0.003290648339316249 | 0.05989725515246391 | 0.017544543370604515 | 0.0552603118121624 | 0.05787931755185127 |
| 2 | 0.11378344893455505 | 0.021852070465683937 | 0.03320414572954178 | 0.045077722519636154 | 0.011418147012591362 | 0.02559296227991581 | 0.12315083295106888 |
| 3 | 0.13433745503425598 | 0.03817714750766754 | 0.024781852960586548 | 0.07219754904508591 | 0.011839693412184715 | 0.07086151838302612 | 0.1271185427904129 |
| 4 | 0.060465868562459946 | 0.048795927315950394 | 0.011491558514535427 | 0.028201643377542496 | 0.008966307155787945 | 0.02663581445813179 | 0.05516171455383301 |
| 5 | 0.14273826777935028 | 0.013738660141825676 | 0.02814446948468685 | 0.030622409656643867 | 0.011270553804934025 | 0.10238239914178848 | 0.2488289177417755 |
| average | 0.9739275932312011 | 0.9955312371253967 | 0.9951788306236268 | 0.9922766327857971 | 0.997454047203064 | 0.9898185014724731 | 0.9778146862983704 |
