

acc
| count/位置 | 1 | 2 | 3 | 4 | 5 | 6 | 7 |
| --------: | -: | -: | -: | -: | -: | -: | -: |
| 1 | 0.8258064389228821 | 0.9273256063461304 | 0.9821428656578064 | 0.9879102110862732 | 0.9811912178993225 | 0.9453375935554504 | 0.8837209343910217 |
| 2 | 0.8338558077812195 | 0.9122257232666016 | 0.976331353187561 | 0.976068377494812 | 0.9873015880584717 | 0.9438943862915039 | 0.881619930267334 |
| 3 | 0.8714733719825745 | 0.9428571462631226 | 0.9743589758872986 | 0.9818781018257141 | 0.9839743375778198 | 0.9636363387107849 | 0.9278688430786133 |
| 4 | 0.8274853825569153 | 0.9375 | 0.9770491719245911 | 0.9818181991577148 | 0.9645161032676697 | 0.9545454382896423 | 0.8935483694076538 |
| 5 | 0.8361204266548157 | 0.9194139242172241 | 0.9620991349220276 | 0.9840510487556458 | 0.993630588054657 | 0.9871382713317871 | 0.8768768906593323 |
| average | 0.8389482855796814 | 0.9278644800186158 | 0.9743963003158569 | 0.982345187664032 | 0.9821227669715882 | 0.9589104056358337 | 0.892726993560791 |

loss
| count/位置 | 1 | 2 | 3 | 4 | 5 | 6 | 7 |
| --------: | -: | -: | -: | -: | -: | -: | -: |
| 1 | 0.7488226890563965 | 0.5277459621429443 | 0.06180528923869133 | 0.06347355246543884 | 0.07767003774642944 | 0.35331353545188904 | 0.5592334270477295 |
| 2 | 1.0862796306610107 | 0.37647661566734314 | 0.12138664722442627 | 0.1369580179452896 | 0.1007782369852066 | 0.41596996784210205 | 0.7718169093132019 |
| 3 | 0.7663352489471436 | 0.27719682455062866 | 0.18778261542320251 | 0.0747915655374527 | 0.06292636692523956 | 0.3183351457118988 | 0.31988638639450073 |
| 4 | 0.9685717225074768 | 0.537351131439209 | 0.122942253947258 | 0.06130722165107727 | 0.12579067051410675 | 0.3192528784275055 | 0.3594413697719574 |
| 5 | 0.9749406576156616 | 0.3080461621284485 | 0.16419431567192078 | 0.18036429584026337 | 0.03868933394551277 | 0.09315873682498932 | 0.7711376547813416 |
| average | 0.8389482855796814 | 0.9278644800186157 | 0.974396300315857 | 0.982345187664032 | 0.9821227669715881 | 0.9589104056358337 | 0.892726993560791 |
